name,abbrev,category,metric,value,index
Desert Rock NV Day Ahead GEFS ghi,Des. Roc. NV Day Ahe. GEFS ghi,date,crps,40.8424269375,2020-03-23
Desert Rock NV Day Ahead GEFS ghi,Des. Roc. NV Day Ahe. GEFS ghi,date,crps,7.8358025833,2020-03-24
Desert Rock NV Day Ahead GEFS ghi,Des. Roc. NV Day Ahe. GEFS ghi,date,crps,25.5471674167,2020-03-25
Desert Rock NV Day Ahead GEFS ghi,Des. Roc. NV Day Ahe. GEFS ghi,date,crps,27.8775236875,2020-03-26
Desert Rock NV Day Ahead GEFS ghi,Des. Roc. NV Day Ahe. GEFS ghi,date,crps,5.3569274792,2020-03-27
Desert Rock NV Day Ahead GEFS ghi,Des. Roc. NV Day Ahe. GEFS ghi,date,crps,53.3145984019,2020-03-28
Desert Rock NV Day Ahead GEFS ghi,Des. Roc. NV Day Ahe. GEFS ghi,date,crps,84.9620695231,2020-03-29
Desert Rock NV Day Ahead GEFS ghi,Des. Roc. NV Day Ahe. GEFS ghi,date,crps,0,2020-03-30
Desert Rock NV Day Ahead GEFS ghi,Des. Roc. NV Day Ahe. GEFS ghi,date,crps,4.5574527577,2020-03-31
Desert Rock NV Day Ahead GEFS ghi,Des. Roc. NV Day Ahe. GEFS ghi,date,crps,1.5817764385,2020-04-01
Desert Rock NV Day Ahead GEFS ghi,Des. Roc. NV Day Ahe. GEFS ghi,date,crps,0.0629743769,2020-04-02
Desert Rock NV Day Ahead GEFS ghi,Des. Roc. NV Day Ahe. GEFS ghi,date,crps,25.62138075,2020-04-03
Desert Rock NV Day Ahead GEFS ghi,Des. Roc. NV Day Ahe. GEFS ghi,date,crps,2.6070728462,2020-04-04
Desert Rock NV Day Ahead GEFS ghi,Des. Roc. NV Day Ahe. GEFS ghi,date,crps,8.3016101923,2020-04-05
Desert Rock NV Day Ahead GEFS ghi,Des. Roc. NV Day Ahe. GEFS ghi,date,crps,28.5214547865,2020-04-06
Desert Rock NV Day Ahead GEFS ghi,Des. Roc. NV Day Ahe. GEFS ghi,date,crps,82.2438845385,2020-04-07
Desert Rock NV Day Ahead GEFS ghi,Des. Roc. NV Day Ahe. GEFS ghi,date,crps,44.9857202635,2020-04-08
Desert Rock NV Day Ahead GEFS ghi,Des. Roc. NV Day Ahe. GEFS ghi,date,crps,61.7443005404,2020-04-09
Desert Rock NV Day Ahead GEFS ghi,Des. Roc. NV Day Ahe. GEFS ghi,date,crps,35.5031482135,2020-04-10
Desert Rock NV Day Ahead GEFS ghi,Des. Roc. NV Day Ahe. GEFS ghi,date,crps,6.8740495769,2020-04-11
Desert Rock NV Day Ahead GEFS ghi,Des. Roc. NV Day Ahe. GEFS ghi,date,crps,68.3816227885,2020-04-12
Desert Rock NV Day Ahead GEFS ghi,Des. Roc. NV Day Ahe. GEFS ghi,date,crps,32.3499880577,2020-04-13
Desert Rock NV Day Ahead GEFS ghi,Des. Roc. NV Day Ahe. GEFS ghi,date,crps,0.0073039423,2020-04-14
Desert Rock NV Day Ahead GEFS ghi,Des. Roc. NV Day Ahe. GEFS ghi,date,crps,0.0133925,2020-04-15
Desert Rock NV Day Ahead GEFS ghi,Des. Roc. NV Day Ahe. GEFS ghi,date,crps,58.6943624038,2020-04-16
Desert Rock NV Day Ahead GEFS ghi,Des. Roc. NV Day Ahe. GEFS ghi,date,crps,45.3182647885,2020-04-17
Desert Rock NV Day Ahead GEFS ghi,Des. Roc. NV Day Ahe. GEFS ghi,date,crps,60.2436759423,2020-04-18
Desert Rock NV Day Ahead GEFS ghi,Des. Roc. NV Day Ahe. GEFS ghi,date,crps,26.1067813269,2020-04-19
Desert Rock NV Day Ahead GEFS ghi,Des. Roc. NV Day Ahe. GEFS ghi,date,crps,71.28429225,2020-04-20
Desert Rock NV Day Ahead GEFS ghi,Des. Roc. NV Day Ahe. GEFS ghi,date,crps,16.2390041731,2020-04-21
Desert Rock NV Day Ahead GEFS ghi,Des. Roc. NV Day Ahe. GEFS ghi,date,crps,1.2402323077,2020-04-22
Desert Rock NV Day Ahead GEFS ghi,Des. Roc. NV Day Ahe. GEFS ghi,date,crps,15.7899808929,2020-04-23
Desert Rock NV Day Ahead GEFS ghi,Des. Roc. NV Day Ahe. GEFS ghi,date,crps,6.9764486,2020-04-24
Desert Rock NV Day Ahead GEFS ghi,Des. Roc. NV Day Ahe. GEFS ghi,date,crps,21.8494145036,2020-04-25
Desert Rock NV Day Ahead GEFS ghi,Des. Roc. NV Day Ahe. GEFS ghi,date,crps,65.1903788554,2020-04-26
Desert Rock NV Day Ahead GEFS ghi,Des. Roc. NV Day Ahe. GEFS ghi,date,crps,8.7864561607,2020-04-27
Desert Rock NV Day Ahead GEFS ghi,Des. Roc. NV Day Ahe. GEFS ghi,date,crps,63.6825284946,2020-04-29
Desert Rock NV Day Ahead GEFS ghi,Des. Roc. NV Day Ahe. GEFS ghi,date,crps,19.2421398839,2020-04-30
Desert Rock NV Day Ahead GEFS ghi,Des. Roc. NV Day Ahe. GEFS ghi,date,crps,16.3138825232,2020-05-01
Desert Rock NV Day Ahead GEFS ghi,Des. Roc. NV Day Ahe. GEFS ghi,date,crps,13.6495160875,2020-05-02
Desert Rock NV Day Ahead GEFS ghi,Des. Roc. NV Day Ahe. GEFS ghi,date,crps,3.3973647232,2020-05-03
Desert Rock NV Day Ahead GEFS ghi,Des. Roc. NV Day Ahe. GEFS ghi,date,crps,0.5538008036,2020-05-04
Desert Rock NV Day Ahead GEFS ghi,Des. Roc. NV Day Ahe. GEFS ghi,date,crps,25.2336320786,2020-05-05
Desert Rock NV Day Ahead GEFS ghi,Des. Roc. NV Day Ahe. GEFS ghi,date,crps,38.1912564321,2020-05-06
Desert Rock NV Day Ahead GEFS ghi,Des. Roc. NV Day Ahe. GEFS ghi,date,crps,18.3299479857,2020-05-07
Desert Rock NV Day Ahead GEFS ghi,Des. Roc. NV Day Ahe. GEFS ghi,date,crps,8.7199539464,2020-05-08
Desert Rock NV Day Ahead GEFS ghi,Des. Roc. NV Day Ahe. GEFS ghi,date,crps,38.7118138607,2020-05-09
Desert Rock NV Day Ahead GEFS ghi,Des. Roc. NV Day Ahe. GEFS ghi,date,crps,46.3331156964,2020-05-10
Desert Rock NV Day Ahead GEFS ghi,Des. Roc. NV Day Ahe. GEFS ghi,date,crps,5.0819204286,2020-05-11
Desert Rock NV Day Ahead GEFS ghi,Des. Roc. NV Day Ahe. GEFS ghi,date,crps,0.916884125,2020-05-12
Desert Rock NV Day Ahead GEFS ghi,Des. Roc. NV Day Ahe. GEFS ghi,date,crps,13.5516410821,2020-05-13
Desert Rock NV Day Ahead GEFS ghi,Des. Roc. NV Day Ahe. GEFS ghi,date,crps,23.090615375,2020-05-14
Desert Rock NV Day Ahead GEFS ghi,Des. Roc. NV Day Ahe. GEFS ghi,date,crps,6.1494915696,2020-05-15
Desert Rock NV Day Ahead GEFS ghi,Des. Roc. NV Day Ahe. GEFS ghi,date,crps,55.6450400589,2020-05-16
Desert Rock NV Day Ahead GEFS ghi,Des. Roc. NV Day Ahe. GEFS ghi,date,crps,40.6250041821,2020-05-17
Desert Rock NV Day Ahead GEFS ghi,Des. Roc. NV Day Ahe. GEFS ghi,date,crps,38.7335795,2020-05-18
Desert Rock NV Day Ahead GEFS ghi,Des. Roc. NV Day Ahe. GEFS ghi,date,crps,10.67628045,2020-05-19
Desert Rock NV Day Ahead GEFS ghi,Des. Roc. NV Day Ahe. GEFS ghi,date,crps,0.679908125,2020-05-20
Desert Rock NV Day Ahead GEFS ghi,Des. Roc. NV Day Ahe. GEFS ghi,date,crps,2.1509466333,2020-05-21
Desert Rock NV Day Ahead GEFS ghi,Des. Roc. NV Day Ahe. GEFS ghi,date,crps,47.8845141283,2020-05-22
Desert Rock NV Day Ahead GEFS ghi,Des. Roc. NV Day Ahe. GEFS ghi,date,crps,2.4253085883,2020-05-23
Desert Rock NV Day Ahead GEFS ghi,Des. Roc. NV Day Ahe. GEFS ghi,date,crps,12.9837533567,2020-05-24
Desert Rock NV Day Ahead GEFS ghi,Des. Roc. NV Day Ahe. GEFS ghi,date,crps,0.1561847183,2020-05-25
Desert Rock NV Day Ahead GEFS ghi,Des. Roc. NV Day Ahe. GEFS ghi,date,crps,0,2020-05-26
Desert Rock NV Day Ahead GEFS ghi,Des. Roc. NV Day Ahe. GEFS ghi,date,crps,0.5084925667,2020-05-27
Desert Rock NV Day Ahead GEFS ghi,Des. Roc. NV Day Ahe. GEFS ghi,date,crps,0,2020-05-28
Desert Rock NV Day Ahead GEFS ghi,Des. Roc. NV Day Ahe. GEFS ghi,date,crps,6.2085183167,2020-05-29
Desert Rock NV Day Ahead GEFS ghi,Des. Roc. NV Day Ahe. GEFS ghi,date,crps,40.598791325,2020-05-30
Desert Rock NV Day Ahead GEFS ghi,Des. Roc. NV Day Ahe. GEFS ghi,date,crps,89.385243075,2020-05-31
Desert Rock NV Day Ahead GEFS ghi,Des. Roc. NV Day Ahe. GEFS ghi,date,crps,80.0429164067,2020-06-01
